Player,Maps,Rounds,K-D Diff,K/D,Rating
nbl,628,16169,-549,0.95,0.95
YJ,515,13453,-82,0.99,0.95
NEO,2037,53165,-1558,0.96,0.95
HOLMES,474,12379,-443,0.95,0.95
dezon,555,14946,-248,0.97,0.95
w1nt3r,744,19307,-340,0.97,0.95
SEMINTE,737,19460,-601,0.95,0.95
denis,1840,48974,-1863,0.95,0.95
Grus,648,17580,-834,0.93,0.95
dumz,455,12074,-320,0.96,0.95
chopper,1441,37381,-817,0.97,0.95
SELLTER,837,20723,-453,0.97,0.95
brett,706,17562,-879,0.93,0.95
oxygeN,906,23500,-623,0.96,0.95
rafftu,565,15138,-452,0.96,0.95
PKL,1392,35921,-913,0.96,0.95
friberg,1979,51523,-1750,0.95,0.95
tahsiN,619,16083,-696,0.94,0.95
Levi,481,12309,-606,0.93,0.95
Console,708,18612,-582,0.95,0.95
byr9,712,18581,-451,0.96,0.95
soju_j,554,14231,-410,0.96,0.95
Keoz,1191,30877,-1336,0.94,0.95
KrizzeN,763,20020,-368,0.97,0.95
bnc,502,12324,-460,0.95,0.95
Danejoris,484,12195,-461,0.95,0.95
H4RR3,694,18646,-843,0.94,0.95
niki1,1351,35585,-1234,0.95,0.95
tiziaN,2052,53406,-1531,0.96,0.95
flashie,594,15719,-518,0.95,0.95
seized,1972,51161,-1578,0.95,0.95
xns,468,12143,-395,0.95,0.95
steel,1567,40987,-1165,0.96,0.95
Inzta,754,19798,-849,0.94,0.94
drop,600,14597,-338,0.96,0.94
TMB,1339,34936,-1411,0.94,0.94
Nexius,471,11708,-653,0.92,0.94
devoduvek,753,19837,-793,0.94,0.94
Karsa,461,11782,-319,0.96,0.94
kzy,991,25840,-835,0.95,0.94
LNZ,751,18682,-511,0.96,0.94
AcilioN,1906,50075,-1867,0.95,0.94
Fifflaren,538,13220,-40,0.99,0.94
SileNt,624,16235,-788,0.93,0.94
Twixie,767,20821,-780,0.94,0.94
interz,1070,27927,-158,0.99,0.94
Rock1nG,923,24313,-1142,0.93,0.94
darko,1045,28038,-1180,0.94,0.94
MAJ3R,1443,37296,-1173,0.95,0.94
tonyblack,826,21699,-725,0.95,0.94
Shakezullah,862,22424,-464,0.97,0.94
caike,575,15020,-586,0.94,0.94
arch,593,15530,-658,0.94,0.94
maNkz,1069,28393,-1214,0.94,0.94
Prism,604,15475,-735,0.93,0.94
kinqie,760,19698,-1005,0.93,0.94
The eLiVe,1213,31016,-1078,0.95,0.94
boX,1473,39456,-1650,0.94,0.94
Valencio,568,14917,-675,0.93,0.94
LOMME,623,16172,-532,0.95,0.94
faydett,530,12860,-523,0.94,0.94
Patti,618,15619,-655,0.94,0.94
Ex6TenZ,1393,36352,-1064,0.96,0.94
ub1que,491,12691,-496,0.94,0.94
TaZ,2390,62983,-2449,0.94,0.94
Snappi,1929,50320,-1925,0.94,0.94
Noisia,608,15732,-665,0.94,0.94
Aleksib,1362,35376,-1107,0.95,0.94
ngiN,1025,26895,-748,0.96,0.94
arvid,1011,26951,-1358,0.93,0.94
Duplicate,1000,26598,-1124,0.94,0.94
yepz,752,18364,-566,0.95,0.94
Marek,498,13045,-567,0.94,0.94
repo,505,13254,-657,0.93,0.94
sAvana1,739,18195,-753,0.94,0.94
Sidney,610,16394,-625,0.94,0.93
Sm1llee,492,12826,-644,0.93,0.93
Leomonster,622,15737,-1024,0.91,0.93
nafany,1310,33587,-1799,0.92,0.93
mASKED,763,18554,-732,0.94,0.93
Polly,461,11987,-611,0.93,0.93
hutji,453,12010,-664,0.92,0.93
crisby,1210,31547,-1814,0.92,0.93
ztr,896,22842,-1073,0.93,0.93
hoax,512,12397,-651,0.92,0.93
kiR,872,22834,-1400,0.91,0.93
TOAO,1435,37991,-1759,0.93,0.93
tutehen,467,12023,-485,0.94,0.93
dan1,540,14182,-705,0.93,0.93
EXUS,987,26248,-1438,0.92,0.93
RAiLWAY,577,15627,-1059,0.91,0.93
neaLaN,1309,34455,-1786,0.93,0.93
JT,1423,36342,-1892,0.92,0.93
matty,617,16381,-836,0.93,0.93
beastik,1478,37790,-1945,0.92,0.93
dok,458,11905,-785,0.91,0.93
Graviti,492,12016,-739,0.91,0.93
BRACE,699,17229,-920,0.92,0.92
hitMouse,538,14028,-625,0.93,0.92
SkulL,747,19220,-1386,0.90,0.92
Xp3,502,13113,-792,0.91,0.92
pNshr,600,15671,-812,0.92,0.92
emi,1370,35513,-1983,0.92,0.92
arki,889,23396,-1274,0.92,0.92
TACO,1495,38921,-1646,0.93,0.92
SANJI,741,19869,-999,0.92,0.92
amster,710,18342,-876,0.93,0.92
Zeus,1405,37152,-1990,0.92,0.92
MSL,1777,46431,-3455,0.90,0.92
Luz,660,17302,-994,0.92,0.92
aVN,1303,32746,-1617,0.93,0.92
drg,785,19655,-1240,0.91,0.92
quix,1047,27383,-2255,0.89,0.92
sorrow,470,12741,-891,0.90,0.92
nak,519,13439,-700,0.92,0.92
dobbo,539,14432,-672,0.93,0.92
CutzMeretz,499,12455,-790,0.91,0.92
S0tF1k,1428,37604,-2378,0.91,0.91
Dav,468,12095,-822,0.90,0.91
akez,572,15395,-1114,0.90,0.91
svyat,741,19875,-1095,0.92,0.91
Ro1f,736,18733,-1091,0.91,0.91
ArroW,506,11861,-666,0.92,0.91
Patrick,724,19397,-1376,0.90,0.91
LEGIJA,869,22614,-1671,0.90,0.91
ncl,556,14249,-793,0.92,0.91
wayLander,794,20857,-1715,0.89,0.91
zmb,576,14508,-1066,0.89,0.91
mynio,1130,30177,-2275,0.89,0.91
xartE,1178,30948,-1800,0.91,0.91
BONA,476,12674,-943,0.89,0.91
1eeR,455,11182,-690,0.91,0.91
coolio,494,12997,-757,0.91,0.90
sAw,1273,33817,-2151,0.91,0.90
kRYSTAL,1890,49419,-3520,0.89,0.90
crush,732,19295,-1476,0.89,0.90
sycrone,553,14608,-978,0.90,0.90
balblna,614,16094,-1251,0.89,0.90
nkl,642,16554,-1046,0.91,0.90
karrigan,2411,62567,-5075,0.88,0.90
hooch,897,23538,-1828,0.89,0.90
Adam9130,716,19221,-1736,0.87,0.90
FNS,953,25080,-1794,0.89,0.89
SENER1,780,20100,-1527,0.89,0.89
JiNKZ,542,14411,-1193,0.88,0.89
pronax,1199,31403,-2267,0.89,0.89
Golden,1165,29659,-2688,0.87,0.89
Psycho,545,14391,-1143,0.88,0.89
SHiNE,600,15608,-1213,0.88,0.89
RICIOLI,827,20626,-1644,0.88,0.89
IceBerg,1095,27376,-3057,0.85,0.89
K1-FiDa,718,18281,-1443,0.88,0.89
ben1337,1318,33457,-2817,0.88,0.89
FreeZe,803,19549,-1909,0.86,0.88
BTN,1720,44496,-4285,0.87,0.88
MiGHTYMAX,1781,45999,-3682,0.88,0.88
LeX,463,11937,-1263,0.85,0.88
torben,532,13939,-1196,0.87,0.88
ninjaZ,523,12838,-1266,0.86,0.88
Lambert,803,21208,-1687,0.88,0.88
seang@res,713,18391,-1629,0.87,0.88
daps,1137,29448,-2452,0.87,0.88
dav1g,599,15315,-1425,0.86,0.88
lunAtic,1371,36322,-3305,0.87,0.88
ScrunK,1165,31100,-3364,0.85,0.87
BERRY,826,21660,-2564,0.84,0.87
birdfromsky,1161,31439,-3276,0.85,0.86
def,605,15797,-1593,0.85,0.86
nawrot,636,16946,-1935,0.84,0.86
djL,688,18180,-1735,0.86,0.86
advent,1352,34337,-3247,0.85,0.85
Airax,510,13024,-1795,0.81,0.85
gob b,980,25846,-2839,0.84,0.85
HooXi,1075,28027,-3361,0.83,0.85
PASHANOJ,620,16227,-2371,0.80,0.83
bobz,461,12176,-1639,0.81,0.83
B1ad3,906,23376,-3476,0.80,0.82
netrick,455,11976,-1736,0.80,0.82
HUNDEN,1578,41153,-6238,0.78,0.81
